article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis11.pdf,,Advisory,FinCEN Advisory - Issue 11,04/01/1999,fincen_advisories.csv,money_laundering,Money Laundering,1,"[177.1199951171875, 513.2042236328125, 556.535888671875, 669.1321411132812]","[0.2894117567274306, 0.6479851308495107, 0.9093723671109069, 0.8448638145369712]",612.0,792.0
advis11.pdf,,Advisory,FinCEN Advisory - Issue 11,04/01/1999,fincen_advisories.csv,money_laundering,Money Laundering,1,"[177.1199951171875, 677.964111328125, 550.9560546875, 735.9721069335938]","[0.2894117567274306, 0.8560152920809659, 0.9002549913194444, 0.9292577107747396]",612.0,792.0
advis11.pdf,,Advisory,FinCEN Advisory - Issue 11,04/01/1999,fincen_advisories.csv,money_laundering,money laundering,2,"[192.36000061035156, 95.72398376464844, 555.8524780273438, 167.7718963623047]","[0.31431372648750255, 0.1208636158644551, 0.9082556830512153, 0.21183320247765744]",612.0,792.0
advis11.pdf,,Advisory,FinCEN Advisory - Issue 11,04/01/1999,fincen_advisories.csv,money_laundering,money laundering,2,"[192.36000061035156, 176.48387145996094, 553.2359619140625, 430.5718688964844]","[0.31431372648750255, 0.2228331710353042, 0.9039803299249387, 0.5436513496167732]",612.0,792.0
advis12.pdf,,Advisory,FinCEN Advisory - Issue 12,06/01/1999,fincen_advisories.csv,money_laundering,money laundering,1,"[176.63999938964844, 319.7640075683594, 555.7916870117188, 422.7719421386719]","[0.2886274499830857, 0.40374243379843355, 0.9081563513263379, 0.5338029572457978]",612.0,792.0
advis12.pdf,,Advisory,FinCEN Advisory - Issue 12,06/01/1999,fincen_advisories.csv,structuring_smurfing,structuring,2,"[185.0399932861328, 461.60400390625, 555.5758666992188, 550.0919799804688]","[0.3023529302060994, 0.5828333382654671, 0.9078037037568933, 0.6945605807834201]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[61.91999816894531, 203.61598205566406, 523.93212890625, 303.6000671386719]","[0.10117646759631586, 0.25709088643391925, 0.8560982498468137, 0.3833334181043837]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[178.55999755859375, 442.8000183105469, 505.1160583496094, 483.6000061035156]","[0.29176470189312703, 0.5590909322102865, 0.8253530365189695, 0.6106060683125197]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[214.55999755859375, 498.0, 527.8676147460938, 582.0]","[0.35058823130489175, 0.6287878787878788, 0.8625287822648591, 0.7348484848484849]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[240.47999572753906, 100.07999420166016, 514.8720092773438, 155.28005981445312]","[0.3929411694894429, 0.1263636290425002, 0.8412941328061172, 0.19606068158390547]",612.0,792.0
