fincen_id,title,date,pdf_filename,pdf_url,publication_type
FIN-2025-A003,FinCEN Advisory FIN-2025-A003,08/28/2025,FinCEN-Advisory-CMLN-508.pdf,https://www.fincen.gov/system/files/2025-08/FinCEN-Advisory-CMLN-508.pdf,advisory
FIN-2025-A002,FinCEN Advisory FIN-2025-A002,06/06/2025,FinCEN-Advisory-Illicit-Oil-Smuggling-508.pdf,https://www.fincen.gov/system/files/FinCEN-Advisory-Illicit-Oil-Smuggling-508.pdf,advisory
FIN-2025-A001,FinCEN Advisory FIN-2025-A001,04/01/2025,FinCEN-Advisory-ISIS-508C.pdf,https://www.fincen.gov/system/files/advisory/2025-04-01/FinCEN-Advisory-ISIS-508C.pdf,advisory
FIN-2024-A002,FinCEN Advisory FIN-2024-A002,06/20/2024,FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf,https://www.fincen.gov/system/files/advisory/2024-06-20/FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf,advisory
FIN-2024-A001,FinCEN Advisory FIN-2024-A001,05/08/2024,FinCEN-Advisory-Iran-Backed-TF-508C.pdf,https://www.fincen.gov/system/files/advisory/2024-05-07/FinCEN-Advisory-Iran-Backed-TF-508C.pdf,advisory
FIN-2022-A002,FinCEN Advisory FIN-2022-A002,06/15/2022,FinCEN%20Advisory%20Elder%20Financial%20Exploitation%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2022-06-15/FinCEN%20Advisory%20Elder%20Financial%20Exploitation%20FINAL%20508.pdf,advisory
FIN-2022-A001,FinCEN Advisory FIN-2022-A001,04/14/2022,FinCEN%20Advisory%20Corruption%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2022-04-14/FinCEN%20Advisory%20Corruption%20FINAL%20508.pdf,advisory
FIN-2021-A004,FinCEN Advisory FIN-2021-A004,11/08/2021,FinCEN%20Ransomware%20Advisory_FINAL_508_.pdf,https://www.fincen.gov/system/files/advisory/2021-11-08/FinCEN%20Ransomware%20Advisory_FINAL_508_.pdf,advisory
FIN-2021-A003,FinCEN Advisory FIN-2021-A003,03/11/2021,FATF%20February%202021%20Advisory%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2021-03-11/FATF%20February%202021%20Advisory%20FINAL%20508.pdf,advisory
FIN-2021-A002,FinCEN Advisory FIN-2021-A002,02/24/2021,Advisory%20EIP%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2021-02-25/Advisory%20EIP%20FINAL%20508.pdf,advisory
FIN-2021-A001,FinCEN Advisory FIN-2021-A001,02/02/2021,COVID-19%20Health%20Care%20508%20Final.pdf,https://www.fincen.gov/system/files/advisory/2021-02-02/COVID-19%20Health%20Care%20508%20Final.pdf,advisory
FIN-2020-A009,FinCEN Advisory FIN-2020-A009,11/06/2020,FATF%20October%202020%20Advisory%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2020-11-06/FATF%20October%202020%20Advisory%20FINAL%20508.pdf,advisory
FIN-2020-A008,FinCEN Advisory FIN-2020-A008,10/15/2020,Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,https://www.fincen.gov/system/files/advisory/2020-10-15/Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,advisory
FIN-2020-A007,FinCEN Advisory FIN-2020-A007,10/13/2020,Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,https://www.fincen.gov/system/files/advisory/2020-10-13/Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,advisory
FIN-2020-A006,FinCEN Advisory FIN-2020-A006,10/01/2020,Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,https://www.fincen.gov/system/files/advisory/2021-11-08/Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,advisory
FIN-2020-A005,FinCEN Advisory FIN-2020-A005,07/30/2020,FinCEN%20Advisory%20Covid%20Cybercrime%20508%20FINAL.pdf,https://www.fincen.gov/system/files/advisory/2020-07-30/FinCEN%20Advisory%20Covid%20Cybercrime%20508%20FINAL.pdf,advisory
FIN-2020-A004,FinCEN Advisory FIN-2020-A004,07/14/2020,FATF_June_2020_Advisory_FINAL_508.pdf,https://www.fincen.gov/system/files/advisory/2020-07-14/FATF_June_2020_Advisory_FINAL_508.pdf,advisory
FIN-2020-A003,FinCEN Advisory FIN-2020-A003,07/07/2020,Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,https://www.fincen.gov/system/files/advisory/2020-07-07/Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,advisory
FIN-2020-A002,FinCEN Advisory FIN-2020-A002,05/18/2020,Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2020-05-18/Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,advisory
FIN-2020-A001,FinCEN Advisory FIN-2020-A001,03/26/2020,FATF%20February%202020%20Advisory%20FINAL%20508_0.pdf,https://www.fincen.gov/system/files/advisory/2020-03-25/FATF%20February%202020%20Advisory%20FINAL%20508_0.pdf,advisory
FIN-2019-A007,FinCEN Advisory FIN-2019-A007,11/12/2019,FATF%20Advisory%20October%202019%20FINAL_508.pdf,https://www.fincen.gov/system/files/advisory/2019-11-12/FATF%20Advisory%20October%202019%20FINAL_508.pdf,advisory
FIN-2019-A006,FinCEN Advisory FIN-2019-A006,08/21/2019,Fentanyl%20Advisory%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2019-08-21/Fentanyl%20Advisory%20FINAL%20508.pdf,advisory
FIN-2019-A005,FinCEN Advisory FIN-2019-A005,07/16/2019,Updated%20BEC%20Advisory%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2019-07-16/Updated%20BEC%20Advisory%20FINAL%20508.pdf,advisory
FIN-2019-A004,FinCEN Advisory FIN-2019-A004,07/12/2019,FATF%20Advisory%20June%202019%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2019-07-12/FATF%20Advisory%20June%202019%20FINAL%20508.pdf,advisory
FIN-2019-A003,FinCEN Advisory FIN-2019-A003,05/09/2019,FinCEN%20Advisory%20CVC%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2019-05-10/FinCEN%20Advisory%20CVC%20FINAL%20508.pdf,advisory
FIN-2019-A002,FinCEN Advisory FIN-2019-A002,05/03/2019,Venezuela%20Advisory%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2019-05-08/Venezuela%20Advisory%20FINAL%20508.pdf,advisory
FIN-2019-A001,FinCEN Advisory FIN-2019-A001,03/08/2019,FAFT_Advisory_March_final_508.pdf,https://www.fincen.gov/system/files/advisory/2019-03-08/FAFT_Advisory_March_final_508.pdf,advisory
FIN-2018-A007,FinCEN Advisory FIN-2018-A007,10/31/2018,FATF%20Advisory%20Oct_FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2018-10-31/FATF%20Advisory%20Oct_FINAL%20508.pdf,advisory
FIN-2018-A006,FinCEN Advisory FIN-2018-A006,10/11/2018,Iran%20Advisory%20FINAL%20508.pdf,https://www.fincen.gov/system/files/advisory/2018-10-12/Iran%20Advisory%20FINAL%20508.pdf,advisory
FIN-2018-A005,FinCEN Advisory FIN-2018-A005,10/04/2018,Nicaragua_Advisory_FINAL_508_0.pdf,https://www.fincen.gov/system/files/advisory/2018-10-04/Nicaragua_Advisory_FINAL_508_0.pdf,advisory
FIN-2018-A004,FinCEN Advisory FIN-2018-A004,09/21/2018,FATF_Advisory_September_2018_FINAL_508_0.pdf,https://www.fincen.gov/system/files/advisory/2018-09-21/FATF_Advisory_September_2018_FINAL_508_0.pdf,advisory
FIN-2018-A003,FinCEN Advisory FIN-2018-A003,06/12/2018,PEP%20Facilitator%20Advisory_FINAL%20508%20updated.pdf,https://www.fincen.gov/system/files/advisory/2018-07-03/PEP%20Facilitator%20Advisory_FINAL%20508%20updated.pdf,advisory
FIN-2018-A002,FinCEN Advisory FIN-2018-A002,04/27/2018,FinCEN%20FATF%20Advisory%20FIN-2018-A002%20%28508%29.pdf,https://www.fincen.gov/system/files/advisory/2018-04-27/FinCEN%20FATF%20Advisory%20FIN-2018-A002%20%28508%29.pdf,advisory
FIN-2018-A001,FinCEN Advisory FIN-2018-A001,02/09/2018,FATF%20Advisory_FIN-2018-001_0.pdf,https://www.fincen.gov/system/files/advisory/2018-02-12/FATF%20Advisory_FIN-2018-001_0.pdf,advisory
FIN-2017-A008,FinCEN Advisory FIN-2017-A008,11/02/2017,DPRK%20Advisory%20FINAL%20508%20C.pdf,https://www.fincen.gov/system/files/advisory/2017-11-02/DPRK%20Advisory%20FINAL%20508%20C.pdf,advisory
FIN-2017-A007,FinCEN Advisory FIN-2017-A007,10/31/2017,FinCEN%20Advisory%20FIN-2017-A007-508%20Compliant.pdf,https://www.fincen.gov/system/files/advisory/2017-10-31/FinCEN%20Advisory%20FIN-2017-A007-508%20Compliant.pdf,advisory
FIN-2017-A007,FinCEN Advisory FIN-2017-A007,09/22/2017,DPRK%20Financing%20Advisory%20%28v16%29%2Blanguage2.pdf,https://www.fincen.gov/system/files/advisory/2017-09-22/DPRK%20Financing%20Advisory%20%28v16%29%2Blanguage2.pdf,advisory
FIN-2017-A006,FinCEN Advisory FIN-2017-A006,09/20/2017,FinCEN%20Advisory%20FIN-2017-A006-508%20Compliant.pdf,https://www.fincen.gov/system/files/advisory/2017-09-20/FinCEN%20Advisory%20FIN-2017-A006-508%20Compliant.pdf,advisory
FIN-2017-A005,FinCEN Advisory FIN-2017-A005,09/15/2017,FinCEN%20FATF%20Advisory-FIN-2017-A005_0.pdf,https://www.fincen.gov/system/files/advisory/2017-09-15/FinCEN%20FATF%20Advisory-FIN-2017-A005_0.pdf,advisory
FIN-2017-A004,FinCEN Advisory FIN-2017-A004,09/06/2017,South%20Sudan%20Advisory_09-06-2017_0.pdf,https://www.fincen.gov/system/files/advisory/2017-09-06/South%20Sudan%20Advisory_09-06-2017_0.pdf,advisory
FIN-2017-A003,FinCEN Advisory - FIN-2017-A003,08/22/2017,Risk%20in%20Real%20Estate%20Advisory_FINAL%20508%20Tuesday%20%28002%29.pdf,https://www.fincen.gov/system/files/advisory/2017-08-22/Risk%20in%20Real%20Estate%20Advisory_FINAL%20508%20Tuesday%20%28002%29.pdf,advisory
FIN-2017-A002,FinCEN Advisory - FIN-2017-A002,04/05/2017,FinCEN%20FATF%20Advisory%20%28February%202017%29.pdf,https://www.fincen.gov/system/files/advisory/2017-04-05/FinCEN%20FATF%20Advisory%20%28February%202017%29.pdf,advisory
FIN-2017-A001,FinCEN Advisory – FIN-2017-A001,01/19/2017,FinCEN%20FATF%20Advisory%20Jan%202017-508%20Compliant_0.pdf,https://www.fincen.gov/system/files/advisory/2017-01-18/FinCEN%20FATF%20Advisory%20Jan%202017-508%20Compliant_0.pdf,advisory
FIN-2016-A005,FinCEN Advisory - FIN-2016-A005,10/25/2016,Cyber%20Threats%20Advisory%20-%20FINAL%20508_2.pdf,https://www.fincen.gov/system/files/advisory/2016-10-25/Cyber%20Threats%20Advisory%20-%20FINAL%20508_2.pdf,advisory
FIN-2016-A004,FinCEN Advisory - FIN-2016-A004,09/07/2016,FIN-2016-A004.pdf,https://www.fincen.gov/system/files/advisory/2016-09-08/FIN-2016-A004.pdf,advisory
FIN-2016-A003,FinCEN Advisory - FIN-2016-A003,09/06/2016,FIN-2016-A003.pdf,https://www.fincen.gov/system/files/advisory/2016-09-09/FIN-2016-A003.pdf,advisory
FIN-2016-A002,FinCEN Advisory - FIN-2016-A002,03/21/2016,FIN-2016-A002.pdf,https://www.fincen.gov/system/files/advisory/FIN-2016-A002.pdf,advisory
FIN-2016-A001,FinCEN Advisory – FIN-2016-A001,01/19/2016,FIN-2016-A001.pdf,https://www.fincen.gov/system/files/advisory/FIN-2016-A001.pdf,advisory
FIN-2015-A002,FinCEN Advisory – FIN-2015-A002,07/20/2015,FIN-2015-A002.pdf,https://www.fincen.gov/system/files/advisory/FIN-2015-A002.pdf,advisory
FIN-2015-A001,FinCEN Advisory – FIN-2015-A001,03/16/2015,FIN-2015-A001.pdf,https://www.fincen.gov/system/files/advisory/FIN-2015-A001.pdf,advisory
FIN-2014-A009,FinCEN Advisory – FIN-2014-A009,11/12/2014,FIN-2014-A009.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A009.pdf,advisory
FIN-2014-A008,FinCEN Advisory – FIN-2014-A008,09/11/2014,FIN-2014-A008.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A008.pdf,advisory
FIN-2014-A007,FinCEN Advisory – FIN-2014-A007,08/11/2014,FIN-2014-A007.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A007.pdf,advisory
FIN-2014-A006,FinCEN Advisory – FIN-2014-A006,08/05/2014,FIN-2014-A006.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A006.pdf,advisory
FIN-2014-A005,FinCEN Advisory–FIN-2014-A005,05/28/2014,FIN-2014-A005.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A005.pdf,advisory
FIN-2014-A004,FinCEN Advisory – FIN-2014-A004,05/20/2014,FIN-2014-A004.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A004.pdf,advisory
FIN-2014-A003,FinCEN Advisory – FIN-2014-A003,03/25/2014,FIN-2014-A003.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A003.pdf,advisory
FIN-2014-A002,FinCEN Advisory – FIN-2014-A002,03/06/2014,FIN-2014-A002.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A002.pdf,advisory
FIN-2014-A001,FinCEN Advisory - FIN-2014-A001,02/25/2014,FIN-2014-A001.pdf,https://www.fincen.gov/system/files/advisory/FIN-2014-A001.pdf,advisory
FIN-2013-A008,FinCEN Advisory - FIN-2013-A008,12/04/2013,FIN-2013-A008.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A008.pdf,advisory
FIN-2013-A007,FinCEN Advisory - FIN-2013-A007,09/27/2013,FIN-2013-A007.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A007.pdf,advisory
FIN-2013-A006,FinCEN Advisory – FIN-2013-A006,09/17/2013,FIN-2013-A006.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A006.pdf,advisory
FIN-2013-A005,FinCEN Advisory – FIN-2013-A005,07/01/2013,FIN-2013-A005.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A005.pdf,advisory
FIN-2013-A003,FinCEN Advisory – FIN-2013-A003,04/24/2013,FIN-2013-A003.pdf,https://www.fincen.gov/system/files/advisory/2016-06-28/FIN-2013-A003.pdf,advisory
FIN-2013-A004,FinCEN Advisory - FIN-2013-A004,04/23/2013,FIN-2013-A004.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A004.pdf,advisory
FIN-2013-A002,FinCEN Advisory – FIN-2013-A002,04/15/2013,FIN-2013-A002.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A002.pdf,advisory
FIN-2013-A001,FinCEN Advisory – FIN-2013-A001,02/26/2013,FIN-2013-A001.pdf,https://www.fincen.gov/system/files/advisory/FIN-2013-A001.pdf,advisory
FIN-2012-A012,FinCEN Advisory – FIN-2012-A012,11/21/2012,FIN-2012-A012.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A012.pdf,advisory
FIN-2012-A011,FinCEN Advisory – FIN-2012-A011,11/20/2012,FIN-2012-A011.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A011.pdf,advisory
FIN-2012-A010,FinCEN Advisory – FIN-2012-A010,10/22/2012,FIN-2012-A010.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A010.pdf,advisory
FIN-2012-A009,FinCEN Advisory – FIN-2012-A009,08/16/2012,FIN-2012-A009.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A009.pdf,advisory
FIN-2012-A008,FinCEN Advisory – FIN-2012-A008,07/20/2012,FIN-2012-A008.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A008.pdf,advisory
