pdf_filename,article_name,fincen_id,doc_type,doc_title,doc_date,high_level_summary,primary_fraud_types,key_red_flags,recommended_sar_focus,why_it_matters_for_usaa
advis11.pdf,advis11.pdf,,Advisory,FinCEN Advisory - Issue 11,04/01/1999,"FinCEN advises enhanced scrutiny for all financial transactions involving Antigua and Barbuda due to recent changes that significantly weakened its anti-money laundering (AML) laws and oversight of its offshore financial sector. These changes are likely to erode supervision and increase bank secrecy, creating a potential haven for money laundering. Institutions should carefully examine such transactions and file Suspicious Activity Reports (SARs) for suspicious activity of $5,000 or more.",Money Laundering,"Transactions routed into or out of Antigua and Barbuda. | Transactions involving entities organized or domiciled in Antigua and Barbuda. | Transactions involving non-resident persons maintaining accounts in Antigua and Barbuda. | Transactions specifically involving Antigua and Barbuda offshore banks. | Transactions involving both Antigua and Barbuda offshore banks and their nine licensed commercial banks. | Lack of independent regulatory oversight of the offshore financial sector in Antigua and Barbuda, potentially leading to increased bank secrecy.","File SARs for suspicious transactions of $5,000 or more (U.S. dollar equivalent) involving Antigua and Barbuda-related activity. | SAR narratives should specifically detail connections to Antigua and Barbuda, its offshore banks, and related entities/non-resident account holders. | Focus monitoring on money transfers (wire transfers, ACH) and account activities linked to the jurisdiction, particularly involving offshore accounts.","This advisory would necessitate immediate action for USAA to update its transaction monitoring rules and geographic risk assessments to flag all financial activity connected to Antigua and Barbuda. Fraud and AML teams would require specific training on these new red flags, emphasizing scrutiny for offshore entities and non-resident accounts. USAA's customer due diligence (CDD) processes would need to be reviewed for any existing or new customers with ties to the jurisdiction, ensuring enhanced due diligence is applied where appropriate. It highlights how FinCEN expects large US FIs to quickly adapt to geopolitical changes affecting AML risks."
advis12.pdf,advis12.pdf,,Advisory,FinCEN Advisory - Issue 12,06/01/1999,"This FinCEN Advisory updates prior guidance on the Black Market Peso Exchange (BMPE), a major money laundering system used by Colombian drug cartels to convert U.S. narcotics proceeds into pesos. FinCEN urges depository institutions and money transmitters to identify and report suspicious activities related to BMPE, which often exploits legitimate financial and trade systems. The system involves complex structuring and misdirection of funds, frequently disguised as normal money transmissions or payments for U.S. exports.",Money Laundering | Structuring,"Structuring of cash deposits into bank accounts potentially linked to peso exchange. | Structured funds delivered to money transmitters, then broken down into smaller, ostensibly ""normal"" transfers, often to individuals in Colombia. | Money transmitter diverting funds from expected international recipients (e.g., Colombia) to a middleman in another country or directly to a U.S. exporter for goods. | Money transmitter, typically sending funds to individuals in a limited set of nations, unusually requesting a bank to send large amounts to industrial/consumer sales companies or distributors in *other* nations as payment for goods. | Funds sent to U.S. companies to pay for easily resaleable goods such as appliances, consumer electronics, auto parts, liquor, cigarettes, and footwear.","SAR narratives should specifically mention ""Black Market Peso Exchange (BMPE)"" or ""peso exchange"" when applicable, describing how the activity aligns with the advisory's typologies. | Focus on suspicious structuring of cash deposits, particularly if followed by or linked to international transfers. | Pay close attention to money transmission channels, especially if transactions involve Colombia, other intermediary nations, or payments to U.S. export companies. | Investigate unusual international wire transfers initiated by money transmitters or their agents, particularly when the beneficiary is a U.S. exporter of specified resaleable goods.","This advisory is crucial for USAA given its role as a large U.S. financial institution. It highlights a persistent and sophisticated money laundering typology, BMPE, which relies on both traditional banking channels and money transmitters. USAA must enhance its monitoring rules to detect the described structuring patterns and unusual international funds transfers, particularly those originating from or involving money transmitters and directed towards U.S. exporters of specific goods. Investigator training needs to incorporate these red flags, improving their ability to identify and document BMPE-related activity in SARs. Furthermore, USAA's risk assessments should specifically consider potential exposure to customers involved in international trade with Colombia or those with high-volume money transmission activity."
advis13.pdf,advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,"FinCEN Advisory 13 informs US financial institutions of serious deficiencies in The Bahamas' counter-money laundering (CML) systems. Due to these systemic weaknesses, FinCEN advises enhanced scrutiny for all transactions and banking relationships involving The Bahamas, particularly regarding suspicious transaction reporting obligations. Institutions should carefully examine facts to determine if reporting is required for transactions of $5,000 or more.",Money Laundering,"The Bahamas lacks rules for financial institutions to report suspicious transactions; reliance is on a criminal provision for failing to report suspicion. | Bahamian banks are not required to verify the identity of customers whose accounts are opened by Bahamian lawyers or other intermediaries, limiting their ability to identify money laundering. | Bahamian international business companies (IBCs) may issue bearer shares, obscuring beneficial ownership. | The Bahamas was identified by the FATF as 'non-cooperative in the fight against money laundering' due to these deficiencies.","SAR narratives should highlight transactions originating in, routed to or through The Bahamas, or involving entities organized/domiciled there, or persons maintaining Bahamian accounts, and reference the CML deficiencies. | Pay attention to transactions of $5,000 or more (U.S. dollar equivalent) involving Bahamian counterparties, accounts, or entities. | Focus monitoring on accounts or customers exhibiting ties to The Bahamas, especially those involving intermediary-opened accounts or potential bearer share structures.","For a large US retail FI like USAA, this advisory would necessitate updating risk assessments for customers with any direct or indirect nexus to The Bahamas. It would require implementing enhanced due diligence procedures for relevant accounts and transactions, and incorporating these specific red flags (e.g., bearer shares, intermediary-opened accounts, lack of local SAR reporting) into investigator training and fraud strategy rules. This ensures USAA meets its BSA/AML obligations by identifying and reporting potentially illicit activities leveraging the identified Bahamian CML weaknesses."
advis14.pdf,advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,"FinCEN Advisory Issue 14 informs U.S. financial institutions about serious deficiencies in the Cayman Islands' counter-money laundering systems. It advises institutions to give enhanced scrutiny to transactions originating in, routed through, or involving entities/persons in the Cayman Islands, due to an increased risk of illicit use. Institutions should carefully examine such transactions for potential suspicious activity reporting obligations.",Money Laundering,"Cayman Islands' financial institutions' failure to report suspicious transactions is not subject to penalty, hindering a 'reporting defense'. | Interaction of certain rules can undermine formal counter-money laundering requirements in the Cayman Islands. | The Financial Action Task Force (FATF) identified the Cayman Islands as non-cooperative 'in the fight against money laundering'. | Current legal, supervisory, and regulatory systems in the Cayman Islands increase the possibility that transactions will be used for illegal purposes.","Carefully consider how Cayman Islands' AML deficiencies affect the possibility that transactions originating in, routed to/through, or involving entities/persons in the Cayman Islands are being used for illegal purposes. | Examine available facts for any such transaction ($5,000 or more, U.S. dollar equivalent) to determine if a SAR is required. | Report transactions related to this advisory to benefit from 'safe harbor' protections against disclosure and liability. | Give enhanced scrutiny to transactions involving the Cayman Islands, including those with entities organized or domiciled there, or persons maintaining accounts there.","For a large US financial institution like USAA, this advisory would necessitate immediate updates to geographical risk assessments, particularly concerning the Cayman Islands. It would trigger enhanced due diligence requirements for customers, counterparties, or beneficiaries linked to the Cayman Islands. AML investigators and FIU analysts would require specific training on these deficiencies, leading to the development or refinement of monitoring rules and SAR filing strategies to capture and report suspicious transactions, especially those involving $5,000 or more, associated with this high-risk jurisdiction."
advis16.pdf,advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,"This FinCEN Advisory warns US financial institutions about significant money laundering risks associated with Dominica due to its weak anti-money laundering regime and lack of effective supervision. Institutions are advised to apply enhanced scrutiny to all transactions originating in, routed through, or involving entities or persons in Dominica, potentially requiring Suspicious Activity Report (SAR) filing.",Money Laundering,"Transactions originating in, routed to, or through Dominica. | Transactions involving entities organized or domiciled in Dominica. | Transactions involving persons maintaining accounts in Dominica. | Dominica's money laundering crime only linked to narcotics-related offenses. | Offshore banks in Dominica not required to report suspicious transactions. | Absence of effective Dominican supervisory or enforcement mechanisms for AML. | Dominica's commitment to secrecy in banking regulation. | Offshore banks in Dominica subject to no effective supervision.","Give enhanced scrutiny to all transactions (of $5,000 or more, U.S. dollar equivalent) originating in, routed to or through Dominica, or involving entities/persons in Dominica, to determine if SAR reporting is required. | SAR narratives should specifically mention connections to Dominica, highlighting any identified systemic weaknesses noted in the advisory. | Institutions reporting such transactions benefit from the safe harbor protections of 31 U.S.C. 5318(g)(2) and (g)(3).","For USAA, this advisory would necessitate adjusting transaction monitoring rules to flag all transactions linked to Dominica for heightened review, treating the jurisdiction as high-risk. It would inform customer risk assessments, requiring enhanced due diligence for members or entities with connections to Dominica. Furthermore, it would be crucial for investigator training, ensuring awareness of Dominica's specific AML vulnerabilities and the importance of filing SARs for transactions meeting the $5,000 threshold, knowing such reports are explicitly covered by safe harbor protections."
advis17.pdf,advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,"FinCEN is informing U.S. financial institutions about serious anti-money laundering (AML) deficiencies in Israel, including the fact that money laundering is not a crime there and institutions are not required to report suspicious transactions. Financial institutions should apply enhanced scrutiny to transactions involving Israel and assess their suspicious transaction reporting obligations carefully.",Money Laundering,"Money laundering is not a crime under Israel’s law. | Financial institutions operating in Israel are not required to report suspicious transactions. | Transactions originating in, routed to, or through Israel. | Transactions involving entities organized or domiciled, or persons maintaining accounts, in Israel. | Israel identified by FATF as non-cooperative in the fight against money laundering.","SAR narratives should mention the deficiencies in Israel's AML regime and the FinCEN advisory as a contributing risk factor for suspicious transactions. | Pay attention to international wire transfers, correspondent banking activities, and accounts held by individuals or entities with a nexus to Israel (e.g., domicile, account maintenance). | Transactions of $5,000 or more (U.S. dollar equivalent) that appear suspicious and involve Israel should be carefully examined for SAR filing requirements.","This advisory would necessitate USAA to update its geographical risk assessment for Israel, categorizing it as a higher-risk jurisdiction for money laundering. It would require enhanced monitoring parameters for international transactions where Israel is an originating, routing, or beneficiary country. AML investigators and FIU analysts would need training on these specific Israeli deficiencies to conduct enhanced due diligence on customers and transactions with a nexus to Israel, ensuring appropriate SAR filings that articulate these country-specific risks and meet the $5,000 reporting threshold."
advis18.pdf,advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,"FinCEN advises U.S. financial institutions to apply enhanced scrutiny to all financial transactions originating in, routed to, or through Lebanon, or involving entities or persons connected to Lebanon. This is due to serious systemic deficiencies in Lebanon's counter-money laundering regime, including strict bank secrecy and limited suspicious activity reporting, leading to its identification as non-cooperative by the FATF.",Money Laundering | Public Corruption,"Financial transactions originating in, routed to, or through Lebanon. | Transactions involving entities organized or domiciled in Lebanon. | Transactions involving persons maintaining accounts in Lebanon. | Difficulties in obtaining client identity or transaction information due to Lebanon's bank secrecy laws. | Activity where Lebanese financial institutions are not required to report suspicious activity to local authorities, or where money laundering is only a crime for narcotics and public corruption.","SAR narratives should specifically cite the Lebanon nexus as a risk factor and refer to FinCEN Advisory Issue 18 when suspicious activity is identified in relevant transactions. | Focus monitoring on international wire transfers, correspondent banking relationships, and new account openings linked to Lebanon-based individuals, entities, or beneficiaries.","This advisory directly impacts USAA by requiring heightened scrutiny for any customer or transaction with a nexus to Lebanon. USAA must update its geographic risk assessments, enhance transaction monitoring rules to flag relevant international transfers, and ensure customer due diligence procedures for individuals or entities with significant ties to Lebanon incorporate these specific AML deficiencies. Investigators and FIU analysts will need training to recognize and document the unique risks posed by Lebanon's systemic issues and strict bank secrecy laws in their SAR filings."
advis2.pdf,advis2.pdf,,Advisory,FinCEN Advisory - Issue 2,03/01/1996,"FinCEN, echoing the FATF, warns that a new law in the Seychelles (the EDA) poses a serious threat to the global financial system by offering immunity from prosecution for large investments, effectively creating a safe haven for criminal proceeds. Financial institutions are advised to exercise enhanced scrutiny over all transactions involving the Seychelles or persons domiciled there. Suspicious transactions lacking a clear lawful business purpose should be reported via a Suspicious Activity Report (SAR).",Money Laundering,Significant or unusual financial transactions routed into or out of the Seychelles. | Financial transactions involving persons domiciled in the Seychelles. | Transactions lacking an independent lawful business purpose. | Transactions that are not consistent with the customer's expected activities. | Transactions with no apparent economic or visible lawful purpose.,"SAR narratives should specify transactions linked to the Seychelles that lack a clear, independent, and lawful business purpose, or appear inconsistent with the customer's profile, explicitly referencing the FinCEN advisory. | Pay particular attention to international payment channels (e.g., wires) to/from the Seychelles, and accounts held by or linked to individuals or entities domiciled in the Seychelles.","This advisory from 1996 would have significantly impacted USAA's AML program. It would have necessitated an immediate update to geographic risk assessments, flagging the Seychelles as a high-risk jurisdiction for money laundering. Monitoring rules would need to be implemented or enhanced to specifically detect transactions (e.g., wires, deposits, or withdrawals) flowing to or from the Seychelles, or involving customers with a stated nexus there. Investigators would require training to identify the specific red flags related to the Seychelles EDA and to understand the implications of the FATF's condemnation, ensuring SAR narratives clearly articulated the lack of legitimate purpose for such transactions, protecting USAA from facilitating the proceeds of crime."
advis21a.pdf,advis21a.pdf,,Advisory,Advisory Updated - Issue 21A,01/01/2002,"This FinCEN Advisory, an update to Issue 21A dated January 1, 2002, revises U.S. financial institutions' obligations under the USA PATRIOT Act to terminate correspondent accounts with foreign shell banks. It further requires institutions to take reasonable steps to ensure that correspondent accounts held by foreign banks are not being used to indirectly provide banking services to foreign shell banks. FinCEN advises exercising particular caution to ensure compliance with applicable U.S. law.",,"A foreign bank that lacks a physical presence in any jurisdiction. | A foreign bank that lacks an appropriate affiliation with a regulated, non-shell bank. | Correspondent accounts held by foreign banks being used to provide banking services indirectly to foreign shell banks.",SAR narratives should detail any identified correspondent account relationships with foreign shell banks or instances where foreign banks are found to be indirectly servicing foreign shell banks. | Specific attention should be paid to correspondent accounts and international transactions involving foreign financial institutions to identify potential shell bank activity.,"For USAA, this advisory significantly impacts its international banking operations and due diligence processes for foreign financial institutions. It mandates enhanced scrutiny of all correspondent relationships to ensure compliance with the USA PATRIOT Act's prohibition on dealing with foreign shell banks. This would necessitate updates to USAA's AML risk assessments, transaction monitoring systems for international payments, and investigator training programs to effectively identify, report, and prevent direct or indirect services to foreign shell banks, thereby strengthening its financial crime controls for global transactions."
advis22.pdf,advis22.pdf,,Advisory,FinCEN Advisory - Issue 22,07/01/2000,"FinCEN advises enhanced scrutiny for all financial transactions originating in, routed to, or involving entities or persons in Niue. Niue's counter-money laundering regime suffers from serious systemic problems, including strict secrecy laws for International Business Companies (IBCs) and no suspicious transaction reporting requirements, leading to its designation as non-cooperative by the FATF. Financial institutions must carefully examine these transactions for potential suspicious activity reporting (SAR) of $5,000 or more, benefiting from safe harbor provisions.",Money Laundering,"Transactions originating in, routed to or through Niue, or involving entities/persons there. | Involvement of Niuean International Business Companies (IBCs) due to strict secrecy laws that prevent disclosure of beneficial owners, directors, or managers. | Lack of suspicious transaction reporting requirements in Niue. | Absence of effective Niuean supervisory or enforcement mechanisms to prevent and detect money laundering.","SAR narratives should specifically highlight any connection to Niue, Niuean IBCs, or individuals maintaining accounts there, detailing the lack of transparency observed. | Focus on international wire transfers, account openings, and any other cross-border transactions where a Niuean nexus is identified. | Pay particular attention to transactions of $5,000 USD equivalent or more involving Niue, ensuring thorough examination for potential suspicious activity.","For USAA, this advisory signals Niue as a high-risk jurisdiction, requiring updates to geographic risk assessments and transaction monitoring systems. This would trigger enhanced scrutiny for any customer transactions, international wires, or account relationships linked to Niue, especially those involving International Business Companies (IBCs) where beneficial ownership is obscured by Niue's secrecy laws. Investigator training would need to incorporate these specific red flags to identify potential money laundering risks effectively, ensuring compliance and protection against financial crime."
