fincen_id,doc_type,title,date,pdf_filename,pdf_url,detail_url
FIN-2025-ALERT002,Alert,FinCEN Alert on Oil Smuggling Schemes on the U.S. Southwest Border Associated with Mexico-Based Cartels,05/01/2025,FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf
FIN-2025-ALERT001,Alert,FinCEN Alert on Bulk Cash Smuggling and Repatriation by Mexico-Based Transnational Criminal Organizations,03/31/2025,BCS-Alert-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf
FIN-2024-ALERT005,Alert,"FinCEN Alert on Fraud Schemes Abusing FinCEN’s Name, Insignia, and Authorities for Financial Gain",12/18/2024,Alert-FinCEN-Scams-FINAL508.pdf,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf
FIN-2024-ALERT004,Alert,FinCEN Alert on Fraud Schemes Involving Deepfake Media Targeting Financial Institutions,11/13/2024,FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf
FIN-2024-ALERT003,Alert,FinCEN Alert to Financial Institutions to Counter Financing of Hizballah and its Terrorist Activities,10/23/2024,FinCEN-Alert-Hizballah-Alert-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf
FIN-2024-ALERT002,Alert,"(Rescinded as of January 29, 2025) FinCEN Issues Supplemental Alert on Israeli Extremist Violence in the West Bank",07/11/2024,FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf
FIN-2024-ALERT001,Alert,"(Rescinded as of January 29, 2025) FinCEN Issues Alert on Israeli Extremist Settler Violence Against Palestinians in the West Bank",02/01/2024,FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf
FIN-2023-ALERT007,Alert,FinCEN Alert on COVID-19 Employee Retention Credit Fraud,11/22/2023,FinCEN_ERC_Fraud_Alert_FINAL508.pdf,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf
FIN-2023-ALERT006,Alert,FinCEN Alert to Financial Institutions to Counter Financing to Hamas and its Terrorist Activities,10/20/2023,FinCEN_Alert_Terrorist_Financing_proof1.pdf,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf
FIN-2023-ALERT005,Alert,FinCEN Alert on Prevalent Virtual Currency Investment Scam Commonly Known as “Pig Butchering”,09/08/2023,FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf
FIN-2023-ALERT004,Alert,Supplemental Alert: FinCEN and the U.S. Department of Commerce’s Bureau of Industry and Security Urge Continued Vigilance for Potential Russian Export Control Evasion Attempts,05/19/2023,FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
FIN-2023-ALERT003,Alert,FinCEN Alert on Nationwide Surge in Mail Theft-Related Check Fraud Schemes Targeting the U.S. Mail,02/27/2023,FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf
FIN-2023-ALERT002,Alert,"FinCEN Alert on Potential U.S. Commercial Real Estate Investments by Sanctioned Russian Elites, Oligarchs, and Their Proxies",01/25/2023,FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf
FIN-2023-ALERT001,Alert,FinCEN Alert on Human Smuggling Along the Southwest Border of the United States,01/13/2023,FinCEN Alert Human Smuggling FINAL_508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Human Smuggling FINAL_508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Human Smuggling FINAL_508.pdf
