article_name,fincen_id,doc_type,doc_title,doc_date,high_level_summary,primary_fraud_families,secondary_fraud_families,specific_schemes_flat,specific_schemes_json,key_red_flags
Advisory%20EIP%20FINAL%20508.pdf,FIN-2021-A002,advisory,FinCEN Advisory FIN-2021-A002,02/24/2021,"This FinCEN advisory (FIN-2021-A002) focuses on financial crimes targeting Economic Impact Payments (EIP) related to COVID-19. It provides descriptions of EIP fraud and associated red flag indicators for financial institutions. The advisory also includes guidance for reporting suspicious activity, emphasizing the importance of detecting and preventing these crimes for economic recovery and protecting individuals.",fraud_government_programs,,fraud_government_programs: Fraud targeting Economic Impact Payments,"[{""family"": ""fraud_government_programs"", ""label"": ""Fraud targeting Economic Impact Payments"", ""notes"": ""Criminals defrauding government-issued Economic Impact Payments (EIP) during the COVID-19 pandemic.""}]",
Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,FIN-2020-A008,advisory,FinCEN Advisory FIN-2020-A008,10/15/2020,"FinCEN Advisory FIN-2020-A008 serves as supplemental guidance to financial institutions on identifying and reporting human trafficking and related illicit activities. The advisory highlights how traffickers exploit vulnerable adults and children for financial gain, encompassing forced labor, involuntary servitude, and commercial sex acts. Financial institutions are requested to reference this advisory and use specific SAR filing instructions when reporting suspicious activity related to human trafficking, especially given the exacerbating conditions caused by the COVID-19 pandemic.",human_trafficking | human_smuggling | money_laundering,,human_trafficking: Forced Labor | human_trafficking: Commercial Sex Exploitation | human_smuggling: Facilitating Illegal Movement of Persons | money_laundering: Laundering of Illicit Proceeds,"[{""family"": ""human_trafficking"", ""label"": ""Forced Labor"", ""notes"": ""Exploitation of victims in situations of forced labor, slavery, involuntary servitude, or peonage.""}, {""family"": ""human_trafficking"", ""label"": ""Commercial Sex Exploitation"", ""notes"": ""Forcing victims to engage in commercial sex acts for financial gain.""}, {""family"": ""human_smuggling"", ""label"": ""Facilitating Illegal Movement of Persons"", ""notes"": ""Arranging or profiting from the illegal movement of individuals across borders.""}, {""family"": ""money_laundering"", ""label"": ""Laundering of Illicit Proceeds"", ""notes"": ""Integrating financial gains derived from human trafficking and smuggling into the legitimate financial system.""}]",
Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,FIN-2020-A002,advisory,FinCEN Advisory FIN-2020-A002,05/18/2020,"FinCEN issued this advisory to alert financial institutions to rising medical-related scams exploiting the COVID-19 pandemic. Criminal actors are adapting existing fraudulent schemes to victimize individuals and businesses by selling fake medical goods, bogus treatments, or soliciting fraudulent donations. Financial institutions are urged to detect, prevent, and report suspicious activity, including money laundering associated with these schemes. SAR filings related to this advisory should include the key term ""COVID19 FIN-2020-A002"" and select SAR field 34(z) (Fraud-other).",money_laundering | shell_front_companies,elder_romance_scam,money_laundering: Laundering COVID-19 scam proceeds | shell_front_companies: Fraudulent medical supply/service entities | elder_romance_scam: Exploitative medical product/service scams,"[{""family"": ""money_laundering"", ""label"": ""Laundering COVID-19 scam proceeds"", ""notes"": ""Movement of funds derived from fraudulent medical products, services, or donations to obscure their illicit origin and integrate them into the financial system.""}, {""family"": ""shell_front_companies"", ""label"": ""Fraudulent medical supply/service entities"", ""notes"": ""Use of shell or front companies to pose as legitimate providers of COVID-19 related medical goods, testing, or treatments to deceive victims and process illicit funds.""}, {""family"": ""elder_romance_scam"", ""label"": ""Exploitative medical product/service scams"", ""notes"": ""Selling fake COVID-19 cures, vaccines, testing kits, or soliciting donations for non-existent relief efforts, preying on public fear and need to exploit individuals and businesses.""}]","Unusual account activity (e.g., rapid increase in deposits/withdrawals, or changes in transaction type/volume/value) for a customer or business newly engaged in medical supplies, research, or services, especially if inconsistent with their established profile. | Newly established businesses or accounts purporting to be medical suppliers, research organizations, or charities, especially those seeking immediate large-value transactions or donations related to COVID-19. | Transactions involving the purchase or sale of medical supplies (e.g., PPE, testing kits) at prices significantly above market value or in quantities far exceeding a customer's normal business needs, potentially for illicit resale. | Multiple incoming payments from various individuals or small businesses, followed by immediate aggregation and outward transfers to a few beneficiaries or different account types, indicative of funnel accounts used in scams. | Websites, social media posts, or direct solicitations promoting unproven COVID-19 cures, vaccines, or testing kits, or requesting donations for suspicious pandemic-related causes. | Payments or transfers to or from jurisdictions known for high-risk illicit financial activity, particularly when associated with medical-related goods or services without clear legitimate purpose."
Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,FIN-2020-A006,advisory,FinCEN Advisory FIN-2020-A006,10/01/2020,"FinCEN is issuing this advisory to alert financial institutions to prevalent trends, typologies, and potential indicators of ransomware and associated money laundering activities. The advisory provides information on the role of financial intermediaries in processing ransomware payments, identifies related financial red flag indicators, and offers guidance on reporting. Ransomware is defined as malicious software designed to block access to systems or data, typically through encryption, to extort payments.",ransomware_cyber | money_laundering,,ransomware_cyber: Ransomware attacks | ransomware_cyber: Data publication threat | money_laundering: Processing ransomware payments,"[{""family"": ""ransomware_cyber"", ""label"": ""Ransomware attacks"", ""notes"": ""Encrypting data or systems to extort ransom payments for decryption and access restoration.""}, {""family"": ""ransomware_cyber"", ""label"": ""Data publication threat"", ""notes"": ""Threatening to publish victims' sensitive files in addition to encrypting data.""}, {""family"": ""money_laundering"", ""label"": ""Processing ransomware payments"", ""notes"": ""Laundering the illicit proceeds obtained from ransomware attacks.""}]",
Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,FIN-2020-A007,advisory,FinCEN Advisory FIN-2020-A007,10/13/2020,"FinCEN issued this advisory to alert financial institutions to widespread unemployment insurance (UI) fraud observed during the COVID-19 pandemic. Illicit actors are exploiting vulnerabilities created by the pandemic to commit these fraudulent schemes. The advisory provides descriptions of COVID-19-related UI fraud, associated financial red flag indicators, and guidance for reporting suspicious activity.",fraud_government_programs,,fraud_government_programs: Unemployment Insurance Fraud,"[{""family"": ""fraud_government_programs"", ""label"": ""Unemployment Insurance Fraud"", ""notes"": ""Fraudulent schemes exploiting vulnerabilities in COVID-19 pandemic relief programs.""}]",
Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,FIN-2020-A003,advisory,FinCEN Advisory FIN-2020-A003,07/07/2020,"This FinCEN advisory (FIN-2020-A003) alerts financial institutions to the rise of imposter scams and money mule schemes, which are forms of consumer fraud exploiting vulnerabilities during the COVID-19 pandemic. It provides indicators and reporting guidance for detecting these illicit activities. FinCEN emphasizes that identifying and reporting such fraud is critical for national security, safeguarding relief efforts, and protecting individuals. Financial institutions are asked to use a specific keyword when filing SARs related to these schemes.",elder_romance_scam | money_laundering,,elder_romance_scam: COVID-19 Imposter Scams | money_laundering: COVID-19 Money Mule Schemes,"[{""family"": ""elder_romance_scam"", ""label"": ""COVID-19 Imposter Scams"", ""notes"": ""Scammers exploit pandemic-related fears and vulnerabilities by impersonating trusted entities to defraud individuals.""}, {""family"": ""money_laundering"", ""label"": ""COVID-19 Money Mule Schemes"", ""notes"": ""Individuals are recruited to receive and transfer illicit funds, often derived from imposter scams related to the pandemic.""}]",
Alert-FinCEN-Scams-FINAL508.pdf,FIN-2024-ALERT005,alert,"FinCEN Alert on Fraud Schemes Abusing FinCEN’s Name, Insignia, and Authorities for Financial Gain",12/18/2024,"FinCEN is alerting financial institutions and the public to fraud schemes that abuse FinCEN’s name, insignia, and authorities for financial gain. These schemes include scams exploiting Beneficial Ownership Information (BOI) reporting, misusing the Money Services Business (MSB) Registration tool, and impersonating FinCEN or its employees. Financial institutions are urged to be vigilant in identifying such schemes, which seek money or personal information, and to report suspicious activity, while also advising customers to avoid these government imposter scams.",fraud_government_programs,,fraud_government_programs: FinCEN Imposter Scams | fraud_government_programs: BOI Reporting Scams | fraud_government_programs: MSB Registration Scams,"[{""family"": ""fraud_government_programs"", ""label"": ""FinCEN Imposter Scams"", ""notes"": ""Impersonating FinCEN or its employees to solicit money or personal information from the public.""}, {""family"": ""fraud_government_programs"", ""label"": ""BOI Reporting Scams"", ""notes"": ""Exploiting beneficial ownership information (BOI) reporting requirements under the Corporate Transparency Act (CTA).""}, {""family"": ""fraud_government_programs"", ""label"": ""MSB Registration Scams"", ""notes"": ""Misusing FinCEN’s Money Services Business (MSB) Registration tool to defraud victims.""}]","Customer inquiries or complaints about unsolicited communications claiming to be from FinCEN or a government agency. | Urgent requests from customers to send money or provide personal information citing FinCEN regulations (e.g., BOI reporting, MSB registration). | Customers attempting to send funds to unknown third parties via unusual methods (e.g., gift cards, cryptocurrency, specific wire instructions) in response to alleged government demands. | Communications (email, phone, mail) impersonating FinCEN that contain grammatical errors, suspicious links/attachments, or unusual contact information. | Customers expressing fear of arrest, fines, or other penalties due to alleged non-compliance with FinCEN requirements without prior legitimate notification. | Requests for remote access to a customer's computer or financial accounts by an individual claiming to be from FinCEN or a related government entity."
BCS-Alert-FINAL-508C.pdf,FIN-2025-ALERT001,alert,FinCEN Alert on Bulk Cash Smuggling and Repatriation by Mexico-Based Transnational Criminal Organizations,03/31/2025,"This FinCEN Alert warns financial institutions about the cross-border smuggling of bulk cash from the U.S. into Mexico and its subsequent repatriation into the U.S. and Mexican financial systems by Mexico-based transnational criminal organizations (TCOs). TCOs utilize Mexico-based businesses, often near the U.S. southwest border, as a front to launder illicit proceeds. Financial institutions are urged to be vigilant in identifying and reporting transactions related to these activities. FinCEN also notes that TCOs are increasingly using alternative value platforms like stored value cards, cryptocurrency, and trade-based money laundering to evade detection.",bulk_cash_smuggling | money_laundering | shell_front_companies,virtual_assets_crypto | trade_based_money_laundering,bulk_cash_smuggling: Cross-border bulk cash movement (US to Mexico) | bulk_cash_smuggling: Bulk cash repatriation via businesses | money_laundering: Structuring through front businesses | money_laundering: Diversion to alternative platforms | shell_front_companies: Business front for cash repatriation,"[{""family"": ""bulk_cash_smuggling"", ""label"": ""Cross-border bulk cash movement (US to Mexico)"", ""notes"": ""Smuggling of illicit proceeds from the U.S. into Mexico.""}, {""family"": ""bulk_cash_smuggling"", ""label"": ""Bulk cash repatriation via businesses"", ""notes"": ""Repatriation of formerly smuggled cash into the financial system using Mexico-based businesses as a cover.""}, {""family"": ""money_laundering"", ""label"": ""Structuring through front businesses"", ""notes"": ""Using Mexico-based businesses to integrate illicit bulk cash into the financial system, often near the US southwest border.""}, {""family"": ""money_laundering"", ""label"": ""Diversion to alternative platforms"", ""notes"": ""Using stored value cards, money orders, cryptocurrency, wire transfers, funnel accounts, or TBML to launder proceeds.""}, {""family"": ""shell_front_companies"", ""label"": ""Business front for cash repatriation"", ""notes"": ""Mexico-based businesses, especially near the US southwest border, used as a cover to repatriate formerly smuggled bulk cash.""}]","Unusual or large cash deposits made into accounts of Mexico-based businesses, particularly those near the U.S. southwest border, inconsistent with their stated business activities. | Rapid movement of funds following cash deposits, including transfers to Mexico, through funnel accounts, or using alternative value platforms (e.g., stored value cards, money orders, virtual assets). | Accounts showing patterns of frequent, large cash deposits followed by immediate transfers, especially when the account holder's profile does not justify such activity. | Customers (individuals or businesses) involved in cross-border transactions with Mexico exhibiting sudden changes in transaction patterns or significant increases in cash-related activity. | Use of virtual assets, stored value cards, or money orders in conjunction with unexplained cash movements or by entities linked to high-risk geographic areas or TCO activity. | Trade-related transactions with Mexico that appear inconsistent with the customer's business model, industry norms, or involve suspicious invoicing or shipping details, potentially masking cash repatriation. | Businesses acting as fronts for cash repatriation, showing little legitimate business activity but handling large cash volumes or frequent transfers to Mexico. | Accounts linked to individuals or entities with known or suspected connections to Transnational Criminal Organizations (TCOs) or drug trafficking, particularly along the U.S.-Mexico border."
COVID-19%20Health%20Care%20508%20Final.pdf,FIN-2021-A001,advisory,FinCEN Advisory FIN-2021-A001,02/02/2021,"This FinCEN advisory alerts financial institutions to various health insurance and health care frauds intensified by the COVID-19 pandemic. These schemes target both government healthcare benefit programs like Medicare, Medicaid, and TRICARE, as well as private health insurance companies. Additionally, the advisory highlights fraud related to COVID-19 relief funds for health care providers, such as those from the PPP-HCEA. FinCEN provides descriptions of these frauds, associated financial red flags, and specific guidance for SAR filings to assist in their detection and reporting.",fraud_government_programs | money_laundering,,fraud_government_programs: Fraud against public health programs | fraud_government_programs: COVID-19 relief fund fraud | money_laundering: Laundering health fraud proceeds,"[{""family"": ""fraud_government_programs"", ""label"": ""Fraud against public health programs"", ""notes"": ""Schemes targeting Medicare, Medicaid, TRICARE, or other government-provided health care benefits.""}, {""family"": ""fraud_government_programs"", ""label"": ""COVID-19 relief fund fraud"", ""notes"": ""Fraudulent claims against COVID-19 relief funds for health care providers, such as those under PPP-HCEA.""}, {""family"": ""money_laundering"", ""label"": ""Laundering health fraud proceeds"", ""notes"": ""Movement and concealment of funds obtained from fraudulent health insurance or health care claims, both public and private.""}]",
COVID-19%20Vaccine%20Notice%20508.pdf,FIN-2020-NTC4,notice,COVID-19 Vaccine-Related Scams and Cyberattacks,12/28/2020,"FinCEN is alerting financial institutions to emerging fraud, ransomware attacks, and cybercrime schemes related to COVID-19 vaccines and their distribution. Criminals are exploiting the pandemic by targeting vaccine research and supply chains with ransomware, and by luring victims with phishing schemes. Additionally, fraudsters are engaged in illicit activities such as selling unapproved or counterfeit vaccines, illegally diverting legitimate doses, and offering premature access to vaccines for a fee. Financial institutions are advised to remain vigilant and report suspicious activity related to these schemes via SARs.",ransomware_cyber | fraud_government_programs,,ransomware_cyber: Ransomware targeting vaccine research | ransomware_cyber: Ransomware targeting vaccine supply chains | ransomware_cyber: Phishing for vaccine information | fraud_government_programs: Sale of unapproved/counterfeit vaccines | fraud_government_programs: Early access vaccine scams | fraud_government_programs: Illegal diversion of legitimate vaccines,"[{""family"": ""ransomware_cyber"", ""label"": ""Ransomware targeting vaccine research"", ""notes"": ""Direct attacks on entities involved in vaccine development and research.""}, {""family"": ""ransomware_cyber"", ""label"": ""Ransomware targeting vaccine supply chains"", ""notes"": ""Attacks on vaccine delivery operations or manufacturing supply chains.""}, {""family"": ""ransomware_cyber"", ""label"": ""Phishing for vaccine information"", ""notes"": ""Luring victims with fraudulent COVID-19 vaccine information, often to steal credentials or deliver malware.""}, {""family"": ""fraud_government_programs"", ""label"": ""Sale of unapproved/counterfeit vaccines"", ""notes"": ""Illicit marketing and sale of fake or unauthorized COVID-19 vaccines.""}, {""family"": ""fraud_government_programs"", ""label"": ""Early access vaccine scams"", ""notes"": ""Fraudsters offering expedited access to legitimate vaccines for an upfront fee.""}, {""family"": ""fraud_government_programs"", ""label"": ""Illegal diversion of legitimate vaccines"", ""notes"": ""Theft and illicit redistribution of approved vaccine doses from official supply chains.""}]","Payments (especially wire transfers or cryptocurrency) to individuals or entities offering early access to COVID-19 vaccines for a fee. | Transactions related to the purchase of unapproved, illegally marketed, or counterfeit COVID-19 vaccines. | Customer inquiries or attempts to purchase vaccines from unofficial, unverified sources, particularly online or via social media. | Reports from customers of suspicious emails, text messages, or phone calls related to vaccine distribution or appointments that request personal information or payment. | Unusual account activity or payment requests that may indicate a customer's system has been compromised by ransomware, especially if they are involved in vaccine research, distribution, or supply chains. | Companies involved in vaccine supply chain or distribution experiencing unusual financial activity, such as significant outgoing payments inconsistent with their normal business, potentially indicating illegal diversion or fraudulent schemes."
